date,dji
01JUL1898,53
05JUL1898,52.99
06JUL1898,52.78
07JUL1898,53.09
08JUL1898,53.25
11JUL1898,53.35
12JUL1898,53.16
13JUL1898,52.61
14JUL1898,53.15
15JUL1898,52.53
18JUL1898,52.27
19JUL1898,52.32
20JUL1898,52.64
21JUL1898,53.13
22JUL1898,53.01
25JUL1898,53.67
26JUL1898,54.17
27JUL1898,53.78
28JUL1898,53.85
29JUL1898,54.02
01AUG1898,54.6
02AUG1898,55.26
03AUG1898,55.46
04AUG1898,55.26
05AUG1898,55.85
08AUG1898,56.31
09AUG1898,56.3
10AUG1898,56.61
11AUG1898,56.55
12AUG1898,56.21
15AUG1898,57.5
16AUG1898,58.45
17AUG1898,58.89
18AUG1898,58.08
19AUG1898,59.09
22AUG1898,59.39
23AUG1898,59.63
24AUG1898,59.72
25AUG1898,60.52
26AUG1898,60.97
29AUG1898,59.57
30AUG1898,59.92
31AUG1898,60.35
01SEP1898,60.5
02SEP1898,60.38
06SEP1898,60.16
07SEP1898,58.92
08SEP1898,58.54
09SEP1898,57.77
12SEP1898,58.08
13SEP1898,57.55
14SEP1898,57.42
15SEP1898,58.38
16SEP1898,58.04
19SEP1898,57.61
20SEP1898,57.23
21SEP1898,58.33
22SEP1898,57.73
23SEP1898,57.63
26SEP1898,56.55
27SEP1898,55.22
28SEP1898,54.52
29SEP1898,54.88
30SEP1898,53.44
03OCT1898,53.62
04OCT1898,53.8
05OCT1898,53.76
06OCT1898,53.36
07OCT1898,53.08
10OCT1898,52.51
11OCT1898,51.85
12OCT1898,51.81
13OCT1898,52.87
14OCT1898,52.28
17OCT1898,52.18
18OCT1898,51.76
19OCT1898,51.56
20OCT1898,51.8
21OCT1898,52.21
24OCT1898,52.85
25OCT1898,53.64
26OCT1898,54.23
27OCT1898,54.24
28OCT1898,54.89
31OCT1898,55.43
01NOV1898,54.94
02NOV1898,54.51
03NOV1898,54.95
04NOV1898,54.75
07NOV1898,55.57
09NOV1898,55.3
10NOV1898,56.02
11NOV1898,56.4
14NOV1898,57.08
15NOV1898,56.9
16NOV1898,56.77
17NOV1898,56.79
18NOV1898,56.58
21NOV1898,56.75
22NOV1898,56.97
23NOV1898,56.71
25NOV1898,56.27
28NOV1898,56.79
29NOV1898,56.89
30NOV1898,57.2
01DEC1898,58.16
02DEC1898,58.14
05DEC1898,58.3
06DEC1898,58.3
07DEC1898,58.52
08DEC1898,59.04
09DEC1898,59.75
12DEC1898,60.28
13DEC1898,59.53
14DEC1898,59.38
15DEC1898,58.97
16DEC1898,58.81
19DEC1898,58.78
20DEC1898,59.11
21DEC1898,59.19
22DEC1898,59.43
23DEC1898,60.09
27DEC1898,60.42
28DEC1898,59
29DEC1898,60.16
30DEC1898,60.52
03JAN1899,60.41
04JAN1899,60.69
05JAN1899,60.91
06JAN1899,60.86
09JAN1899,61.98
10JAN1899,61.45
11JAN1899,61.31
12JAN1899,61.23
13JAN1899,61.71
16JAN1899,61.28
17JAN1899,61.41
18JAN1899,61.93
19JAN1899,62.3
20JAN1899,62.4
23JAN1899,62.37
24JAN1899,61.8
25JAN1899,63.05
26JAN1899,63.83
27JAN1899,64.64
30JAN1899,65.02
31JAN1899,64.35
01FEB1899,64.44
02FEB1899,63.93
03FEB1899,63.61
06FEB1899,63.05
07FEB1899,61.95
08FEB1899,62.23
09FEB1899,62.1
10FEB1899,62.11
14FEB1899,62.55
15FEB1899,62.5
16FEB1899,62.7
17FEB1899,63.13
20FEB1899,66.76
21FEB1899,66.89
23FEB1899,67.32
24FEB1899,67.35
27FEB1899,66.98
28FEB1899,66.78
01MAR1899,66.64
02MAR1899,65.9
03MAR1899,67.02
06MAR1899,65.95
07MAR1899,66.4
08MAR1899,67.29
09MAR1899,67.66
10MAR1899,68.14
13MAR1899,68.89
14MAR1899,68.98
15MAR1899,68.9
16MAR1899,70.71
17MAR1899,71.26
20MAR1899,71.19
21MAR1899,71.28
22MAR1899,71.83
23MAR1899,71.56
