"Overnight accommodation; guests, country of residence, type, region "
"Periods: 2018 February*"
"";"";"";"";"Regions"
"Country of residence";"Topic";"Type of accommodation";"";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"United Kingdom";"Overnight stays";"Holiday park";"x 1 000";"18";".";".";".";".";".";".";".";".";".";".";".";"."
"United Kingdom";"Overnight stays";"Group accommodation";"x 1 000";"1";".";".";".";".";".";".";".";".";".";".";".";"."
"France";"Guests";"Total overnight accommodation";"x 1 000";"65";"0";"0";"0";"1";"1";"1";"2";"46";"7";"0";"4";"2"
"France";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"61";"0";"0";"0";"1";"0";"1";"2";"45";"7";"0";"3";"2"
"France";"Guests";"Total Leisure accommodation";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0"
"France";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"France";"Guests";"Holiday park";"x 1 000";"3";".";".";".";".";".";".";".";".";".";".";".";"."
"France";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"France";"Overnight stays";"Total overnight accommodation";"x 1 000";"121";"0";"0";"0";"1";"2";"2";"3";"85";"14";"0";"8";"5"
"France";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"108";"0";"0";"0";"1";"0";"2";"2";"83";"11";"0";"5";"3"
"France";"Overnight stays";"Total Leisure accommodation";"x 1 000";"13";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"3";"0"
"France";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"France";"Overnight stays";"Holiday park";"x 1 000";"11";".";".";".";".";".";".";".";".";".";".";".";"."
"France";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Switzerland and Liechtenstein";"Guests";"Total overnight accommodation";"x 1 000";"18";"0";"0";"0";"0";"0";"0";"1";"12";"2";"0";"1";"1"
"Switzerland and Liechtenstein";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"17";"0";"0";"0";"0";"0";"0";"1";"12";"2";"0";"1";"1"
"Switzerland and Liechtenstein";"Guests";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Switzerland and Liechtenstein";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Switzerland and Liechtenstein";"Guests";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Switzerland and Liechtenstein";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Switzerland and Liechtenstein";"Overnight stays";"Total overnight accommodation";"x 1 000";"33";"0";"0";"0";"0";"0";"0";"1";"24";"3";"0";"2";"2"
"Switzerland and Liechtenstein";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"32";"0";"0";"0";"0";"0";"0";"1";"23";"3";"0";"2";"2"
"Switzerland and Liechtenstein";"Overnight stays";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Switzerland and Liechtenstein";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Switzerland and Liechtenstein";"Overnight stays";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Switzerland and Liechtenstein";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Italy";"Guests";"Total overnight accommodation";"x 1 000";"41";"0";"0";"0";"0";"0";"1";"1";"32";"4";"0";"2";"1"
"Italy";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"41";"0";"0";"0";"0";"0";"1";"1";"31";"3";"0";"2";"1"
